 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation
CN1700500000000,17,5,"Bond County, IL"
CN1700700000000,17,7,"Boone County, IL"
CN1700900000000,17,9,"Brown County, IL"
CN1701100000000,17,11,"Bureau County, IL"
CN1701300000000,17,13,"Calhoun County, IL"
CN1701500000000,17,15,"Carroll County, IL"
CN1701700000000,17,17,"Cass County, IL"
CN1701900000000,17,19,"Champaign County, IL"
CN1702100000000,17,21,"Christian County, IL"
CN1702300000000,17,23,"Clark County, IL"
CN1702500000000,17,25,"Clay County, IL"
CN1702700000000,17,27,"Clinton County, IL"
CN1702900000000,17,29,"Coles County, IL"
CN1703100000000,17,31,"Cook County, IL"
CN1703300000000,17,33,"Crawford County, IL"
CN1703500000000,17,35,"Cumberland County, IL"
CN1703700000000,17,37,"DeKalb County, IL"
CN1703900000000,17,39,"De Witt County, IL"
CN1704100000000,17,41,"Douglas County, IL"
CN1704300000000,17,43,"DuPage County, IL"
CN1704500000000,17,45,"Edgar County, IL"
CN1704700000000,17,47,"Edwards County, IL"
CN1704900000000,17,49,"Effingham County, IL"
CN1705100000000,17,51,"Fayette County, IL"
CN1705300000000,17,53,"Ford County, IL"
CN1705500000000,17,55,"Franklin County, IL"
CN1705700000000,17,57,"Fulton County, IL"
CN1705900000000,17,59,"Gallatin County, IL"
CN1706100000000,17,61,"Greene County, IL"
CN1706300000000,17,63,"Grundy County, IL"
CN1706500000000,17,65,"Hamilton County, IL"
CN1706700000000,17,67,"Hancock County, IL"
CN1706900000000,17,69,"Hardin County, IL"
CN1707100000000,17,71,"Henderson County, IL"
CN1707300000000,17,73,"Henry County, IL"
CN1707500000000,17,75,"Iroquois County, IL"
CN1707700000000,17,77,"Jackson County, IL"
CN1707900000000,17,79,"Jasper County, IL"
CN1708100000000,17,81,"Jefferson County, IL"
CN1708300000000,17,83,"Jersey County, IL"
CN1708500000000,17,85,"Jo Daviess County, IL"
CN1708700000000,17,87,"Johnson County, IL"
CN1708900000000,17,89,"Kane County, IL"
CN1709100000000,17,91,"Kankakee County, IL"
CN1709300000000,17,93,"Kendall County, IL"
CN1709500000000,17,95,"Knox County, IL"
CN1709700000000,17,97,"Lake County, IL"
CN1709900000000,17,99,"LaSalle County, IL"
CN1710100000000,17,101,"Lawrence County, IL"
CN1710300000000,17,103,"Lee County, IL"
CN1710500000000,17,105,"Livingston County, IL"
CN1710700000000,17,107,"Logan County, IL"
CN1710900000000,17,109,"McDonough County, IL"
CN1711100000000,17,111,"McHenry County, IL"
CN1711300000000,17,113,"McLean County, IL"
CN1711500000000,17,115,"Macon County, IL"
CN1711700000000,17,117,"Macoupin County, IL"
CN1711900000000,17,119,"Madison County, IL"
CN1712100000000,17,121,"Marion County, IL"
CN1712300000000,17,123,"Marshall County, IL"
CN1712500000000,17,125,"Mason County, IL"
CN1712700000000,17,127,"Massac County, IL"
CN1712900000000,17,129,"Menard County, IL"
CN1713100000000,17,131,"Mercer County, IL"
CN1713300000000,17,133,"Monroe County, IL"
CN1713500000000,17,135,"Montgomery County, IL"
CN1713700000000,17,137,"Morgan County, IL"
CN1713900000000,17,139,"Moultrie County, IL"
CN1714100000000,17,141,"Ogle County, IL"
CN1714300000000,17,143,"Peoria County, IL"
CN1714500000000,17,145,"Perry County, IL"
CN1714700000000,17,147,"Piatt County, IL"
CN1714900000000,17,149,"Pike County, IL"
CN1715100000000,17,151,"Pope County, IL"
CN1715300000000,17,153,"Pulaski County, IL"
CN1715500000000,17,155,"Putnam County, IL"
CN1715700000000,17,157,"Randolph County, IL"
CN1715900000000,17,159,"Richland County, IL"
CN1716100000000,17,161,"Rock Island County, IL"
CN1716300000000,17,163,"St. Clair County, IL"
CN1716500000000,17,165,"Saline County, IL"
CN1716700000000,17,167,"Sangamon County, IL"
CN1716900000000,17,169,"Schuyler County, IL"
CN1717100000000,17,171,"Scott County, IL"
CN1717300000000,17,173,"Shelby County, IL"
CN1717500000000,17,175,"Stark County, IL"
CN1717700000000,17,177,"Stephenson County, IL"
CN1717900000000,17,179,"Tazewell County, IL"
CN1718100000000,17,181,"Union County, IL"
CN1718300000000,17,183,"Vermilion County, IL"
CN1718500000000,17,185,"Wabash County, IL"
CN1718700000000,17,187,"Warren County, IL"
CN1718900000000,17,189,"Washington County, IL"
CN1719100000000,17,191,"Wayne County, IL"
CN1719300000000,17,193,"White County, IL"
CN1719500000000,17,195,"Whiteside County, IL"
CN1719700000000,17,197,"Will County, IL"
CN1719900000000,17,199,"Williamson County, IL"
CN1720100000000,17,201,"Winnebago County, IL"
CN1720300000000,17,203,"Woodford County, IL"
CN1800100000000,18,1,"Adams County, IN"
CN1800300000000,18,3,"Allen County, IN"
CN1800500000000,18,5,"Bartholomew County, IN"
CN1800700000000,18,7,"Benton County, IN"
CN1800900000000,18,9,"Blackford County, IN"
CN1801100000000,18,11,"Boone County, IN"
CN1801300000000,18,13,"Brown County, IN"
CN1801500000000,18,15,"Carroll County, IN"
CN1801700000000,18,17,"Cass County, IN"
CN1801900000000,18,19,"Clark County, IN"
CN1802100000000,18,21,"Clay County, IN"
CN1802300000000,18,23,"Clinton County, IN"
CN1802500000000,18,25,"Crawford County, IN"
CN1802700000000,18,27,"Daviess County, IN"
CN1802900000000,18,29,"Dearborn County, IN"
CN1803100000000,18,31,"Decatur County, IN"
CN1803300000000,18,33,"DeKalb County, IN"
CN1803500000000,18,35,"Delaware County, IN"
CN1803700000000,18,37,"Dubois County, IN"
CN1803900000000,18,39,"Elkhart County, IN"
CN1804100000000,18,41,"Fayette County, IN"
CN1804300000000,18,43,"Floyd County, IN"
CN1804500000000,18,45,"Fountain County, IN"
CN1804700000000,18,47,"Franklin County, IN"
CN1804900000000,18,49,"Fulton County, IN"
CN1805100000000,18,51,"Gibson County, IN"
CN1805300000000,18,53,"Grant County, IN"
CN1805500000000,18,55,"Greene County, IN"
CN1805700000000,18,57,"Hamilton County, IN"
CN1805900000000,18,59,"Hancock County, IN"
CN1806100000000,18,61,"Harrison County, IN"
CN1806300000000,18,63,"Hendricks County, IN"
CN1806500000000,18,65,"Henry County, IN"
CN1806700000000,18,67,"Howard County, IN"
CN1806900000000,18,69,"Huntington County, IN"
CN1807100000000,18,71,"Jackson County, IN"
CN1807300000000,18,73,"Jasper County, IN"
CN1807500000000,18,75,"Jay County, IN"
CN1807700000000,18,77,"Jefferson County, IN"
CN1807900000000,18,79,"Jennings County, IN"
CN1808100000000,18,81,"Johnson County, IN"
CN1808300000000,18,83,"Knox County, IN"
CN1808500000000,18,85,"Kosciusko County, IN"
CN1808700000000,18,87,"LaGrange County, IN"
CN1808900000000,18,89,"Lake County, IN"
CN1809100000000,18,91,"LaPorte County, IN"
CN1809300000000,18,93,"Lawrence County, IN"
CN1809500000000,18,95,"Madison County, IN"
CN1809700000000,18,97,"Marion County, IN"
CN1809900000000,18,99,"Marshall County, IN"
CN1810100000000,18,101,"Martin County, IN"
CN1810300000000,18,103,"Miami County, IN"
CN1810500000000,18,105,"Monroe County, IN"
CN1810700000000,18,107,"Montgomery County, IN"
CN1810900000000,18,109,"Morgan County, IN"
CN1811100000000,18,111,"Newton County, IN"
CN1811300000000,18,113,"Noble County, IN"
CN1811500000000,18,115,"Ohio County, IN"
CN1811700000000,18,117,"Orange County, IN"
CN1811900000000,18,119,"Owen County, IN"
CN1812100000000,18,121,"Parke County, IN"
CN1812300000000,18,123,"Perry County, IN"
CN1812500000000,18,125,"Pike County, IN"
CN1812700000000,18,127,"Porter County, IN"
CN1812900000000,18,129,"Posey County, IN"
CN1813100000000,18,131,"Pulaski County, IN"
CN1813300000000,18,133,"Putnam County, IN"
CN1813500000000,18,135,"Randolph County, IN"
CN1813700000000,18,137,"Ripley County, IN"
CN1813900000000,18,139,"Rush County, IN"
CN1814100000000,18,141,"St. Joseph County, IN"
CN1814300000000,18,143,"Scott County, IN"
CN1814500000000,18,145,"Shelby County, IN"
CN1814700000000,18,147,"Spencer County, IN"
CN1814900000000,18,149,"Starke County, IN"
CN1815100000000,18,151,"Steuben County, IN"
CN1815300000000,18,153,"Sullivan County, IN"
CN1815500000000,18,155,"Switzerland County, IN"
CN1815700000000,18,157,"Tippecanoe County, IN"
CN1815900000000,18,159,"Tipton County, IN"
CN1816100000000,18,161,"Union County, IN"
CN1816300000000,18,163,"Vanderburgh County, IN"
CN1816500000000,18,165,"Vermillion County, IN"
CN1816700000000,18,167,"Vigo County, IN"
CN1816900000000,18,169,"Wabash County, IN"
CN1817100000000,18,171,"Warren County, IN"
CN1817300000000,18,173,"Warrick County, IN"
CN1817500000000,18,175,"Washington County, IN"
CN1817700000000,18,177,"Wayne County, IN"
CN1817900000000,18,179,"Wells County, IN"
CN1818100000000,18,181,"White County, IN"
CN1818300000000,18,183,"Whitley County, IN"
CN1900100000000,19,1,"Adair County, IA"
CN1900300000000,19,3,"Adams County, IA"
CN1900500000000,19,5,"Allamakee County, IA"
CN1900700000000,19,7,"Appanoose County, IA"
CN1900900000000,19,9,"Audubon County, IA"
CN1901100000000,19,11,"Benton County, IA"
CN1901300000000,19,13,"Black Hawk County, IA"
CN1901500000000,19,15,"Boone County, IA"
CN1901700000000,19,17,"Bremer County, IA"
CN1901900000000,19,19,"Buchanan County, IA"
CN1902100000000,19,21,"Buena Vista County, IA"
CN1902300000000,19,23,"Butler County, IA"
CN1902500000000,19,25,"Calhoun County, IA"
CN1902700000000,19,27,"Carroll County, IA"
CN1902900000000,19,29,"Cass County, IA"
CN1903100000000,19,31,"Cedar County, IA"
CN1903300000000,19,33,"Cerro Gordo County, IA"
CN1903500000000,19,35,"Cherokee County, IA"
CN1903700000000,19,37,"Chickasaw County, IA"
CN1903900000000,19,39,"Clarke County, IA"
CN1904100000000,19,41,"Clay County, IA"
CN1904300000000,19,43,"Clayton County, IA"
CN1904500000000,19,45,"Clinton County, IA"
CN1904700000000,19,47,"Crawford County, IA"
CN1904900000000,19,49,"Dallas County, IA"
CN1905100000000,19,51,"Davis County, IA"
CN1905300000000,19,53,"Decatur County, IA"
CN1905500000000,19,55,"Delaware County, IA"
CN1905700000000,19,57,"Des Moines County, IA"
CN1905900000000,19,59,"Dickinson County, IA"
CN1906100000000,19,61,"Dubuque County, IA"
CN1906300000000,19,63,"Emmet County, IA"
CN1906500000000,19,65,"Fayette County, IA"
CN1906700000000,19,67,"Floyd County, IA"
CN1906900000000,19,69,"Franklin County, IA"
CN1907100000000,19,71,"Fremont County, IA"
CN1907300000000,19,73,"Greene County, IA"
CN1907500000000,19,75,"Grundy County, IA"
CN1907700000000,19,77,"Guthrie County, IA"
CN1907900000000,19,79,"Hamilton County, IA"
CN1908100000000,19,81,"Hancock County, IA"
CN1908300000000,19,83,"Hardin County, IA"
CN1908500000000,19,85,"Harrison County, IA"
CN1908700000000,19,87,"Henry County, IA"
CN1908900000000,19,89,"Howard County, IA"
CN1909100000000,19,91,"Humboldt County, IA"
CN1909300000000,19,93,"Ida County, IA"
CN1909500000000,19,95,"Iowa County, IA"
CN1909700000000,19,97,"Jackson County, IA"
CN1909900000000,19,99,"Jasper County, IA"
CN1910100000000,19,101,"Jefferson County, IA"
CN1910300000000,19,103,"Johnson County, IA"
CN1910500000000,19,105,"Jones County, IA"
CN1910700000000,19,107,"Keokuk County, IA"
CN1910900000000,19,109,"Kossuth County, IA"
CN1911100000000,19,111,"Lee County, IA"
CN1911300000000,19,113,"Linn County, IA"
CN1911500000000,19,115,"Louisa County, IA"
CN1911700000000,19,117,"Lucas County, IA"
CN1911900000000,19,119,"Lyon County, IA"
CN1912100000000,19,121,"Madison County, IA"
CN1912300000000,19,123,"Mahaska County, IA"
CN1912500000000,19,125,"Marion County, IA"
CN1912700000000,19,127,"Marshall County, IA"
CN1912900000000,19,129,"Mills County, IA"
CN1913100000000,19,131,"Mitchell County, IA"
CN1913300000000,19,133,"Monona County, IA"
CN1913500000000,19,135,"Monroe County, IA"
CN1913700000000,19,137,"Montgomery County, IA"
CN1913900000000,19,139,"Muscatine County, IA"
CN1914100000000,19,141,"O'Brien County, IA"
CN1914300000000,19,143,"Osceola County, IA"
CN1914500000000,19,145,"Page County, IA"
CN1914700000000,19,147,"Palo Alto County, IA"
CN1914900000000,19,149,"Plymouth County, IA"
CN1915100000000,19,151,"Pocahontas County, IA"
CN1915300000000,19,153,"Polk County, IA"
CN1915500000000,19,155,"Pottawattamie County, IA"
CN1915700000000,19,157,"Poweshiek County, IA"
CN1915900000000,19,159,"Ringgold County, IA"
CN1916100000000,19,161,"Sac County, IA"
CN1916300000000,19,163,"Scott County, IA"
CN1916500000000,19,165,"Shelby County, IA"
CN1916700000000,19,167,"Sioux County, IA"
CN1916900000000,19,169,"Story County, IA"
CN1917100000000,19,171,"Tama County, IA"
CN1917300000000,19,173,"Taylor County, IA"
CN1917500000000,19,175,"Union County, IA"
CN1917700000000,19,177,"Van Buren County, IA"
CN1917900000000,19,179,"Wapello County, IA"
CN1918100000000,19,181,"Warren County, IA"
CN1918300000000,19,183,"Washington County, IA"
CN1918500000000,19,185,"Wayne County, IA"
CN1918700000000,19,187,"Webster County, IA"
CN1918900000000,19,189,"Winnebago County, IA"
CN1919100000000,19,191,"Winneshiek County, IA"
CN1919300000000,19,193,"Woodbury County, IA"
CN1919500000000,19,195,"Worth County, IA"
CN1919700000000,19,197,"Wright County, IA"
CN2000100000000,20,1,"Allen County, KS"
CN2000300000000,20,3,"Anderson County, KS"
CN2000500000000,20,5,"Atchison County, KS"
CN2000700000000,20,7,"Barber County, KS"
CN2000900000000,20,9,"Barton County, KS"
CN2001100000000,20,11,"Bourbon County, KS"
CN2001300000000,20,13,"Brown County, KS"
CN2001500000000,20,15,"Butler County, KS"
CN2001700000000,20,17,"Chase County, KS"
CN2001900000000,20,19,"Chautauqua County, KS"
CN2002100000000,20,21,"Cherokee County, KS"
CN2002300000000,20,23,"Cheyenne County, KS"
CN2002500000000,20,25,"Clark County, KS"
CN2002700000000,20,27,"Clay County, KS"
CN2002900000000,20,29,"Cloud County, KS"
CN2003100000000,20,31,"Coffey County, KS"
CN2003300000000,20,33,"Comanche County, KS"
CN2003500000000,20,35,"Cowley County, KS"
CN2003700000000,20,37,"Crawford County, KS"
CN2003900000000,20,39,"Decatur County, KS"
CN2004100000000,20,41,"Dickinson County, KS"
CN2004300000000,20,43,"Doniphan County, KS"
CN2004500000000,20,45,"Douglas County, KS"
CN2004700000000,20,47,"Edwards County, KS"
CN2004900000000,20,49,"Elk County, KS"
CN2005100000000,20,51,"Ellis County, KS"
CN2005300000000,20,53,"Ellsworth County, KS"
CN2005500000000,20,55,"Finney County, KS"
CN2005700000000,20,57,"Ford County, KS"
CN2005900000000,20,59,"Franklin County, KS"
CN2006100000000,20,61,"Geary County, KS"
CN2006300000000,20,63,"Gove County, KS"
CN2006500000000,20,65,"Graham County, KS"
CN2006700000000,20,67,"Grant County, KS"
CN2006900000000,20,69,"Gray County, KS"
CN2007100000000,20,71,"Greeley County, KS"
CN2007300000000,20,73,"Greenwood County, KS"
CN2007500000000,20,75,"Hamilton County, KS"
CN2007700000000,20,77,"Harper County, KS"
CN2007900000000,20,79,"Harvey County, KS"
CN2008100000000,20,81,"Haskell County, KS"
CN2008300000000,20,83,"Hodgeman County, KS"
CN2008500000000,20,85,"Jackson County, KS"
CN2008700000000,20,87,"Jefferson County, KS"
CN2008900000000,20,89,"Jewell County, KS"
CN2009100000000,20,91,"Johnson County, KS"
CN2009300000000,20,93,"Kearny County, KS"
CN2009500000000,20,95,"Kingman County, KS"
CN2009700000000,20,97,"Kiowa County, KS"
CN2009900000000,20,99,"Labette County, KS"
CN2010100000000,20,101,"Lane County, KS"
CN2010300000000,20,103,"Leavenworth County, KS"
CN2010500000000,20,105,"Lincoln County, KS"
CN2010700000000,20,107,"Linn County, KS"
CN2010900000000,20,109,"Logan County, KS"
CN2011100000000,20,111,"Lyon County, KS"
CN2011300000000,20,113,"McPherson County, KS"
CN2011500000000,20,115,"Marion County, KS"
CN2011700000000,20,117,"Marshall County, KS"
CN2011900000000,20,119,"Meade County, KS"
CN2012100000000,20,121,"Miami County, KS"
CN2012300000000,20,123,"Mitchell County, KS"
CN2012500000000,20,125,"Montgomery County, KS"
CN2012700000000,20,127,"Morris County, KS"
CN2012900000000,20,129,"Morton County, KS"
CN2013100000000,20,131,"Nemaha County, KS"
CN2013300000000,20,133,"Neosho County, KS"
CN2013500000000,20,135,"Ness County, KS"
CN2013700000000,20,137,"Norton County, KS"
CN2013900000000,20,139,"Osage County, KS"
CN2014100000000,20,141,"Osborne County, KS"
CN2014300000000,20,143,"Ottawa County, KS"
CN2014500000000,20,145,"Pawnee County, KS"
CN2014700000000,20,147,"Phillips County, KS"
CN2014900000000,20,149,"Pottawatomie County, KS"
CN2015100000000,20,151,"Pratt County, KS"
CN2015300000000,20,153,"Rawlins County, KS"
CN2015500000000,20,155,"Reno County, KS"
CN2015700000000,20,157,"Republic County, KS"
CN2015900000000,20,159,"Rice County, KS"
CN2016100000000,20,161,"Riley County, KS"
CN2016300000000,20,163,"Rooks County, KS"
CN2016500000000,20,165,"Rush County, KS"
CN2016700000000,20,167,"Russell County, KS"
CN2016900000000,20,169,"Saline County, KS"
CN2017100000000,20,171,"Scott County, KS"
CN2017300000000,20,173,"Sedgwick County, KS"
CN2017500000000,20,175,"Seward County, KS"
CN2017700000000,20,177,"Shawnee County, KS"
CN2017900000000,20,179,"Sheridan County, KS"
CN2018100000000,20,181,"Sherman County, KS"
CN2018300000000,20,183,"Smith County, KS"
CN2018500000000,20,185,"Stafford County, KS"
CN2018700000000,20,187,"Stanton County, KS"
CN2018900000000,20,189,"Stevens County, KS"
CN2019100000000,20,191,"Sumner County, KS"
CN2019300000000,20,193,"Thomas County, KS"
CN2019500000000,20,195,"Trego County, KS"
CN2019700000000,20,197,"Wabaunsee County, KS"
CN2019900000000,20,199,"Wallace County, KS"
CN2020100000000,20,201,"Washington County, KS"
CN2020300000000,20,203,"Wichita County, KS"
CN2020500000000,20,205,"Wilson County, KS"
CN2020700000000,20,207,"Woodson County, KS"
CN2020900000000,20,209,"Wyandotte County, KS"
CN2100100000000,21,1,"Adair County, KY"
CN2100300000000,21,3,"Allen County, KY"
CN2100500000000,21,5,"Anderson County, KY"
CN2100700000000,21,7,"Ballard County, KY"
CN2100900000000,21,9,"Barren County, KY"
CN2101100000000,21,11,"Bath County, KY"
CN2101300000000,21,13,"Bell County, KY"
CN2101500000000,21,15,"Boone County, KY"
CN2101700000000,21,17,"Bourbon County, KY"
CN2101900000000,21,19,"Boyd County, KY"
CN2102100000000,21,21,"Boyle County, KY"
CN2102300000000,21,23,"Bracken County, KY"
CN2102500000000,21,25,"Breathitt County, KY"
CN2102700000000,21,27,"Breckinridge County, KY"
CN2102900000000,21,29,"Bullitt County, KY"
CN2103100000000,21,31,"Butler County, KY"
CN2103300000000,21,33,"Caldwell County, KY"
CN2103500000000,21,35,"Calloway County, KY"
CN2103700000000,21,37,"Campbell County, KY"
CN2103900000000,21,39,"Carlisle County, KY"
CN2104100000000,21,41,"Carroll County, KY"
CN2104300000000,21,43,"Carter County, KY"
CN2104500000000,21,45,"Casey County, KY"
CN2104700000000,21,47,"Christian County, KY"
CN2104900000000,21,49,"Clark County, KY"
CN2105100000000,21,51,"Clay County, KY"
CN2105300000000,21,53,"Clinton County, KY"
CN2105500000000,21,55,"Crittenden County, KY"
CN2105700000000,21,57,"Cumberland County, KY"
CN2105900000000,21,59,"Daviess County, KY"
CN2106100000000,21,61,"Edmonson County, KY"
CN2106300000000,21,63,"Elliott County, KY"
CN2106500000000,21,65,"Estill County, KY"
CN2106700000000,21,67,"Fayette County, KY"
CN2106900000000,21,69,"Fleming County, KY"
CN2107100000000,21,71,"Floyd County, KY"
CN2107300000000,21,73,"Franklin County, KY"
CN2107500000000,21,75,"Fulton County, KY"
CN2107700000000,21,77,"Gallatin County, KY"
CN2107900000000,21,79,"Garrard County, KY"
CN2108100000000,21,81,"Grant County, KY"
CN2108300000000,21,83,"Graves County, KY"
CN2108500000000,21,85,"Grayson County, KY"
CN2108700000000,21,87,"Green County, KY"
CN2108900000000,21,89,"Greenup County, KY"
CN2109100000000,21,91,"Hancock County, KY"
CN2109300000000,21,93,"Hardin County, KY"
CN2109500000000,21,95,"Harlan County, KY"
CN2109700000000,21,97,"Harrison County, KY"
CN2109900000000,21,99,"Hart County, KY"
CN2110100000000,21,101,"Henderson County, KY"
CN2110300000000,21,103,"Henry County, KY"
CN2110500000000,21,105,"Hickman County, KY"
CN2110700000000,21,107,"Hopkins County, KY"
CN2110900000000,21,109,"Jackson County, KY"
CN2111100000000,21,111,"Jefferson County, KY"
CN2111300000000,21,113,"Jessamine County, KY"
CN2111500000000,21,115,"Johnson County, KY"
CN2111700000000,21,117,"Kenton County, KY"
CN2111900000000,21,119,"Knott County, KY"
CN2112100000000,21,121,"Knox County, KY"
CN2112300000000,21,123,"Larue County, KY"
CN2112500000000,21,125,"Laurel County, KY"
CN2112700000000,21,127,"Lawrence County, KY"
CN2112900000000,21,129,"Lee County, KY"
CN2113100000000,21,131,"Leslie County, KY"
CN2113300000000,21,133,"Letcher County, KY"
CN2113500000000,21,135,"Lewis County, KY"
CN2113700000000,21,137,"Lincoln County, KY"
CN2113900000000,21,139,"Livingston County, KY"
CN2114100000000,21,141,"Logan County, KY"
CN2114300000000,21,143,"Lyon County, KY"
CN2114500000000,21,145,"McCracken County, KY"
CN2114700000000,21,147,"McCreary County, KY"
CN2114900000000,21,149,"McLean County, KY"
CN2115100000000,21,151,"Madison County, KY"
CN2115300000000,21,153,"Magoffin County, KY"
CN2115500000000,21,155,"Marion County, KY"
CN2115700000000,21,157,"Marshall County, KY"
CN2115900000000,21,159,"Martin County, KY"
CN2116100000000,21,161,"Mason County, KY"
CN2116300000000,21,163,"Meade County, KY"
CN2116500000000,21,165,"Menifee County, KY"
CN2116700000000,21,167,"Mercer County, KY"
CN2116900000000,21,169,"Metcalfe County, KY"
CN2117100000000,21,171,"Monroe County, KY"
CN2117300000000,21,173,"Montgomery County, KY"
CN2117500000000,21,175,"Morgan County, KY"
CN2117700000000,21,177,"Muhlenberg County, KY"
CN2117900000000,21,179,"Nelson County, KY"
CN2118100000000,21,181,"Nicholas County, KY"
CN2118300000000,21,183,"Ohio County, KY"
CN2118500000000,21,185,"Oldham County, KY"
CN2118700000000,21,187,"Owen County, KY"
CN2118900000000,21,189,"Owsley County, KY"
CN2119100000000,21,191,"Pendleton County, KY"
CN2119300000000,21,193,"Perry County, KY"
CN2119500000000,21,195,"Pike County, KY"
CN2119700000000,21,197,"Powell County, KY"
CN2119900000000,21,199,"Pulaski County, KY"
CN2120100000000,21,201,"Robertson County, KY"
CN2120300000000,21,203,"Rockcastle County, KY"
CN2120500000000,21,205,"Rowan County, KY"
CN2120700000000,21,207,"Russell County, KY"
CN2120900000000,21,209,"Scott County, KY"
CN2121100000000,21,211,"Shelby County, KY"
CN2121300000000,21,213,"Simpson County, KY"
CN2121500000000,21,215,"Spencer County, KY"
CN2121700000000,21,217,"Taylor County, KY"
CN2121900000000,21,219,"Todd County, KY"
CN2122100000000,21,221,"Trigg County, KY"
CN2122300000000,21,223,"Trimble County, KY"
CN2122500000000,21,225,"Union County, KY"
CN2122700000000,21,227,"Warren County, KY"
CN2122900000000,21,229,"Washington County, KY"
CN2123100000000,21,231,"Wayne County, KY"
CN2123300000000,21,233,"Webster County, KY"
CN2123500000000,21,235,"Whitley County, KY"
CN2123700000000,21,237,"Wolfe County, KY"
CN2123900000000,21,239,"Woodford County, KY"
CN2200100000000,22,1,"Acadia Parish, LA"
CN2200300000000,22,3,"Allen Parish, LA"
CN2200500000000,22,5,"Ascension Parish, LA"
CN2200700000000,22,7,"Assumption Parish, LA"
CN2200900000000,22,9,"Avoyelles Parish, LA"
CN2201100000000,22,11,"Beauregard Parish, LA"
CN2201300000000,22,13,"Bienville Parish, LA"
CN2201500000000,22,15,"Bossier Parish, LA"
CN2201700000000,22,17,"Caddo Parish, LA"
CN2201900000000,22,19,"Calcasieu Parish, LA"
CN2202100000000,22,21,"Caldwell Parish, LA"
CN2202300000000,22,23,"Cameron Parish, LA"
CN2202500000000,22,25,"Catahoula Parish, LA"
CN2202700000000,22,27,"Claiborne Parish, LA"
CN2202900000000,22,29,"Concordia Parish, LA"
CN2203100000000,22,31,"De Soto Parish, LA"
CN2203300000000,22,33,"East Baton Rouge Parish, LA"
CN2203500000000,22,35,"East Carroll Parish, LA"
CN2203700000000,22,37,"East Feliciana Parish, LA"
CN2203900000000,22,39,"Evangeline Parish, LA"
CN2204100000000,22,41,"Franklin Parish, LA"
CN2204300000000,22,43,"Grant Parish, LA"
CN2204500000000,22,45,"Iberia Parish, LA"
CN2204700000000,22,47,"Iberville Parish, LA"
CN2204900000000,22,49,"Jackson Parish, LA"
CN2205100000000,22,51,"Jefferson Parish, LA"
CN2205300000000,22,53,"Jefferson Davis Parish, LA"
CN2205500000000,22,55,"Lafayette Parish, LA"
CN2205700000000,22,57,"Lafourche Parish, LA"
CN2205900000000,22,59,"LaSalle Parish, LA"
CN2206100000000,22,61,"Lincoln Parish, LA"
CN2206300000000,22,63,"Livingston Parish, LA"
CN2206500000000,22,65,"Madison Parish, LA"
CN2206700000000,22,67,"Morehouse Parish, LA"
CN2206900000000,22,69,"Natchitoches Parish, LA"
CN2207100000000,22,71,"Orleans Parish, LA"
CN2207300000000,22,73,"Ouachita Parish, LA"
CN2207500000000,22,75,"Plaquemines Parish, LA"
CN2207700000000,22,77,"Pointe Coupee Parish, LA"
CN2207900000000,22,79,"Rapides Parish, LA"
CN2208100000000,22,81,"Red River Parish, LA"
CN2208300000000,22,83,"Richland Parish, LA"
CN2208500000000,22,85,"Sabine Parish, LA"
CN2208700000000,22,87,"St. Bernard Parish, LA"
CN2208900000000,22,89,"St. Charles Parish, LA"
CN2209100000000,22,91,"St. Helena Parish, LA"
CN2209300000000,22,93,"St. James Parish, LA"
CN2209500000000,22,95,"St. John the Baptist Parish, LA"
CN2209700000000,22,97,"St. Landry Parish, LA"
CN2209900000000,22,99,"St. Martin Parish, LA"
CN2210100000000,22,101,"St. Mary Parish, LA"
CN2210300000000,22,103,"St. Tammany Parish, LA"
CN2210500000000,22,105,"Tangipahoa Parish, LA"
CN2210700000000,22,107,"Tensas Parish, LA"
CN2210900000000,22,109,"Terrebonne Parish, LA"
CN2211100000000,22,111,"Union Parish, LA"
CN2211300000000,22,113,"Vermilion Parish, LA"
CN2211500000000,22,115,"Vernon Parish, LA"
CN2211700000000,22,117,"Washington Parish, LA"
CN2211900000000,22,119,"Webster Parish, LA"
CN2212100000000,22,121,"West Baton Rouge Parish, LA"
CN2212300000000,22,123,"West Carroll Parish, LA"
CN2212500000000,22,125,"West Feliciana Parish, LA"
CN2212700000000,22,127,"Winn Parish, LA"
CN2300100000000,23,1,"Androscoggin County, ME"
CN2300300000000,23,3,"Aroostook County, ME"
CN2300500000000,23,5,"Cumberland County, ME"
CN2300700000000,23,7,"Franklin County, ME"
CN2300900000000,23,9,"Hancock County, ME"
CN2301100000000,23,11,"Kennebec County, ME"
CN2301300000000,23,13,"Knox County, ME"
CN2301500000000,23,15,"Lincoln County, ME"
CN2301700000000,23,17,"Oxford County, ME"
CN2301900000000,23,19,"Penobscot County, ME"
CN2302100000000,23,21,"Piscataquis County, ME"
CN2302300000000,23,23,"Sagadahoc County, ME"
CN2302500000000,23,25,"Somerset County, ME"
CN2302700000000,23,27,"Waldo County, ME"
CN2302900000000,23,29,"Washington County, ME"
CN2303100000000,23,31,"York County, ME"
CN2400100000000,24,1,"Allegany County, MD"
CN2400300000000,24,3,"Anne Arundel County, MD"
CN2400500000000,24,5,"Baltimore County, MD"
CN2400900000000,24,9,"Calvert County, MD"
